Card Type,Geography,churn_rate,n_customers,avg_satisfaction,avg_balance,avg_credit_score,complaint_rate
DIAMOND,Germany,0.34,648,3.0385802469135803,119388.48990740739,647.1743827160494,0.3395061728395062
PLATINUM,Germany,0.337,608,3.0098684210526314,119822.60366776316,651.5805921052631,0.3404605263157895
SILVER,Germany,0.313,600,2.9766666666666666,119699.01078333333,648.085,0.31333333333333335
GOLD,Germany,0.308,653,2.996937212863706,120011.59329249617,658.676875957121,0.3124042879019908
DIAMOND,France,0.18,1230,2.957723577235772,66340.32671544715,653.810569105691,0.18048780487804877
SILVER,Spain,0.177,611,2.9967266775777412,59248.64923076923,646.2045826513912,0.176759410801964
PLATINUM,Spain,0.175,623,3.0064205457463884,64221.62879614768,651.629213483146,0.17495987158908508
DIAMOND,Spain,0.167,629,3.0174880763116056,62625.659284578694,649.7360890302067,0.1669316375198728
SILVER,France,0.16,1285,3.0264591439688715,60497.72557976654,653.5470817120622,0.16031128404669262
GOLD,France,0.154,1235,3.074493927125506,61541.06276113361,646.2923076923076,0.15303643724696356
PLATINUM,France,0.153,1264,3.011867088607595,60119.53144778481,644.9928797468355,0.15427215189873417
GOLD,Spain,0.148,614,3.034201954397394,61109.141530944624,657.7752442996742,0.1482084690553746
