feature,coefficient
Complain,5.183795760735001
Age,0.8545307600229558
Card Type_SILVER,0.10980530276873668
Geography_France,0.072551845399688
CreditScore,0.06551023449007087
Balance,0.03891883403932806
Geography_Spain,0.035493633034020755
EstimatedSalary,0.033255195317297974
Gender_Male,0.03137217592477967
Card Type_DIAMOND,-0.000972099351643778
Gender_Female,-0.031372175924778964
HasCrCard,-0.04188303686157324
Card Type_PLATINUM,-0.053670085398396655
Card Type_GOLD,-0.05459458194605843
Tenure,-0.06548102612426486
NumOfProducts,-0.08528389662944953
Geography_Germany,-0.11899436361531726
Satisfaction Score,-0.20816200597625906
Point Earned,-0.3957728392879136
IsActiveMember,-0.6218286245714761
